server,server_name_slug,network_name,country_code,as
cs3.coders-irc.net,Coders-IRC-cs3_coders-irc_net-GB-AS63949,Coders-IRC,GB,AS63949 Akamai Connected Cloud
cs2.coders-irc.net,Coders-IRC-cs2_coders-irc_net-CA-AS16276,Coders-IRC,CA,AS16276 OVH SAS
plutone.orixon.org,Orixon-plutone_orixon_org-FR-AS16276,Orixon,FR,AS16276 OVH SAS
nettuno.orixon.org,Orixon-nettuno_orixon_org-DE-AS16276,Orixon,DE,AS16276 OVH SAS
saturno.orixon.org,Orixon-saturno_orixon_org-NL-AS16276,Orixon,NL,AS16276 OVH SAS
irc-cf73.darkscience.net,darkscience-irc-cf73_darkscience_net-NL-AS20473,darkscience,NL,AS20473 The Constant Company, LLC
mooo.digitalirc.org,DigitalIRC-mooo_digitalirc_org-FR-AS16276,DigitalIRC,FR,AS16276 OVH SAS
teacup.digitalirc.org,DigitalIRC-teacup_digitalirc_org-GB-AS16276,DigitalIRC,GB,AS16276 OVH SAS
dynamo.digitalirc.org,DigitalIRC-dynamo_digitalirc_org-NL-AS60781,DigitalIRC,NL,AS60781 LeaseWeb Netherlands B.V.
stirfry.digitalirc.org,DigitalIRC-stirfry_digitalirc_org-SG-AS16276,DigitalIRC,SG,AS16276 OVH SAS
fiery.ca.us.swiftirc.net,SwiftIRC-fiery_ca_us_swiftirc_net-US-AS14061,SwiftIRC,US,AS14061 DigitalOcean, LLC
tardis.en.uk.swiftirc.net,SwiftIRC-tardis_en_uk_swiftirc_net-GB-AS14061,SwiftIRC,GB,AS14061 DigitalOcean, LLC
irc2.net-tchat.fr,Net-Tchat-irc2_net-tchat_fr-GB-AS31898,Net-Tchat,GB,AS31898 Oracle Corporation
irc1.net-tchat.fr,Net-Tchat-irc1_net-tchat_fr-FR-AS16276,Net-Tchat,FR,AS16276 OVH SAS
aurora.afternet.org,AfterNET-aurora_afternet_org-US-AS63949,AfterNET,US,AS63949 Akamai Connected Cloud
luna.afternet.org,AfterNET-luna_afternet_org-US-AS14061,AfterNET,US,AS14061 DigitalOcean, LLC
irc2.chattersnet.nl,Chattersnet-irc2_chattersnet_nl-FR-AS16276,Chattersnet,FR,AS16276 OVH SAS
irc1.chattersnet.nl,Chattersnet-irc1_chattersnet_nl-NL-AS16276,Chattersnet,NL,AS16276 OVH SAS
abyss.nl.eu.darkmyst.org,DarkMyst-abyss_nl_eu_darkmyst_org-NL-AS14061,DarkMyst,NL,AS14061 DigitalOcean, LLC
paralysis.tx.us.darkmyst.org,DarkMyst-paralysis_tx_us_darkmyst_org-US-AS63949,DarkMyst,US,AS63949 Akamai Connected Cloud
maple.on.ca.darkmyst.org,DarkMyst-maple_on_ca_darkmyst_org-CA-AS14061,DarkMyst,CA,AS14061 DigitalOcean, LLC
odyssey.de.eu.darkmyst.org,DarkMyst-odyssey_de_eu_darkmyst_org-DE-AS14061,DarkMyst,DE,AS14061 DigitalOcean, LLC
phoenix.nsw.au.darkmyst.org,DarkMyst-phoenix_nsw_au_darkmyst_org-AU-AS20473,DarkMyst,AU,AS20473 The Constant Company, LLC
nebula.uk.eu.darkmyst.org,DarkMyst-nebula_uk_eu_darkmyst_org-GB-AS63949,DarkMyst,GB,AS63949 Akamai Connected Cloud
nutty.recycled-irc.net,Recycled-IRC-nutty_recycled-irc_net-FR-AS16276,Recycled-IRC,FR,AS16276 OVH SAS
spoil.recycled-irc.net,Recycled-IRC-spoil_recycled-irc_net-BE-AS16276,Recycled-IRC,BE,AS16276 OVH SAS
irc.us.mibbit.net,Mibbit-irc_us_mibbit_net-US-AS14618,Mibbit,US,AS14618 Amazon.com, Inc.
irc.uk.mibbit.net,Mibbit-irc_uk_mibbit_net-GB-AS63949,Mibbit,GB,AS63949 Akamai Connected Cloud
#irc.chat.com.tr,Chat_com_tr-irc_chat_com_tr-TR-AS199608,Chat.com.tr,TR,AS199608 Cuneyt Mentesoglu trading as "Birbir Internet Hizmetleri"
#pibervision.evilnet.org,EvilNET-pibervision_evilnet_org-US-AS396982,EvilNET,US,AS396982 Google LLC
eden.evilnet.org,EvilNET-eden_evilnet_org-CA-AS16276,EvilNET,CA,AS16276 OVH SAS
quoservers.evilnet.org,EvilNET-quoservers_evilnet_org-FI-AS24940,EvilNET,FI,AS24940 Hetzner Online GmbH
orgrimmar.evilnet.org,EvilNET-orgrimmar_evilnet_org-NO-AS56655,EvilNET,NO,AS56655 TerraHost AS
#luxembourg.ix.evilnet.org,EvilNET-luxembourg_ix_evilnet_org-US-AS53667,EvilNET,US,AS53667 FranTech Solutions
#corsair.scuttled.net,2600net-corsair_scuttled_net-US-AS16509,2600net,US,AS16509 Amazon.com, Inc.
cornelius.scuttled.net,2600net-cornelius_scuttled_net-JP-AS40676,2600net,JP,AS40676 Psychz Networks
apollo.jhb.za.atrum.org,Atrum-apollo_jhb_za_atrum_org-ZA-AS328037,Atrum,ZA,AS328037 Optify Systems (Pty) Ltd
#zenith.cpt.za.atrum.org,Atrum-zenith_cpt_za_atrum_org-ZA-AS37199,Atrum,ZA,AS37199 Vanilla
moraine.de.eu.atrum.org,Atrum-moraine_de_eu_atrum_org-DE-AS24940,Atrum,DE,AS24940 Hetzner Online GmbH
succubus.il.us.chatlounge.net,ChatLounge-succubus_il_us_chatlounge_net-US-AS20473,ChatLounge,US,AS20473 The Constant Company, LLC
vampire.tx.us.chatlounge.net,ChatLounge-vampire_tx_us_chatlounge_net-US-AS20473,ChatLounge,US,AS20473 The Constant Company, LLC
demon.fl.us.chatlounge.net,ChatLounge-demon_fl_us_chatlounge_net-US-AS20473,ChatLounge,US,AS20473 The Constant Company, LLC
medusa.nl.eu.chatlounge.net,ChatLounge-medusa_nl_eu_chatlounge_net-NL-AS198203,ChatLounge,NL,AS198203 RouteLabel V.O.F.
chupacabra.ca.us.chatlounge.net,ChatLounge-chupacabra_ca_us_chatlounge_net-US-AS3842,ChatLounge,US,AS3842 InMotion Hosting, Inc.
poltergeist.nj.us.chatlounge.net,ChatLounge-poltergeist_nj_us_chatlounge_net-US-AS20473,ChatLounge,US,AS20473 The Constant Company, LLC
netsplit.pirc.pl,PIRC_pl-netsplit_pirc_pl-FR-AS16276,PIRC.pl,FR,AS16276 OVH SAS
bzyk.pirc.pl,PIRC_pl-bzyk_pirc_pl-PL-AS205727,PIRC.pl,PL,AS205727 Aruba S.p.A.
jowisz.pirc.pl,PIRC_pl-jowisz_pirc_pl-PL-AS16276,PIRC.pl,PL,AS16276 OVH SAS
